order,data_win,data_bova,data_diferente,ticks,cruzados,spread_max,amplitude,salto_max,suspeito
84,2021.09.28,2021.09.28,False,30887,0,55.0,3235.0,110.0,False
85,2021.09.29,2021.09.29,False,28592,0,20.0,1690.0,70.0,False
86,2021.09.30,2021.09.30,False,32195,0,20.0,1480.0,100.0,False
87,2021.10.01,2021.10.01,False,25603,0,25.0,1700.0,105.0,False
88,2021.10.04,2021.10.04,False,25298,0,35.0,1925.0,100.0,False
89,2021.10.05,2021.10.05,False,24393,0,30.0,1740.0,65.0,False
90,2021.10.06,2021.10.06,False,32373,0,30.0,2355.0,170.0,False
91,2021.10.07,2021.10.07,False,24690,0,30.0,950.0,80.0,False
92,2021.10.08,2021.10.08,False,24583,0,50.0,2155.0,95.0,False
93,2021.10.11,2021.10.11,False,27312,0,40.0,1800.0,85.0,False
94,2021.10.15,2021.10.15,False,16849,0,40.0,1805.0,100.0,False
95,2021.10.18,2021.10.18,False,19816,0,30.0,2295.0,75.0,False
96,2021.10.19,2021.10.19,False,27212,0,50.0,3310.0,190.0,False
97,2021.10.20,2021.10.20,False,31251,0,50.0,1995.0,135.0,False
98,2021.10.21,2021.10.21,False,35771,0,40.0,3835.0,255.0,False
99,2021.10.22,2021.10.22,False,43020,0,75.0,5160.0,320.0,True
100,2021.10.25,2021.10.25,False,32678,0,45.0,2265.0,205.0,False
101,2021.10.26,2021.10.26,False,31163,0,60.0,1465.0,155.0,False
102,2021.10.27,2021.10.27,False,26028,0,25.0,2225.0,110.0,False
103,2021.10.28,2021.10.28,False,34293,0,55.0,2100.0,160.0,False
104,2021.10.29,2021.10.29,False,35751,0,85.0,2410.0,195.0,False
105,2021.11.01,2021.11.01,False,25946,0,40.0,1740.0,90.0,False
106,2021.11.03,2021.11.03,False,32731,0,105.0,2785.0,270.0,True
107,2021.11.04,2021.11.04,False,29472,0,45.0,2600.0,210.0,False
108,2021.11.05,2021.11.05,False,27004,0,35.0,1280.0,120.0,False
109,2021.11.08,2021.11.08,False,23466,0,65.0,1465.0,105.0,False
110,2021.11.09,2021.11.09,False,26292,0,35.0,1390.0,125.0,False
111,2021.11.10,2021.11.10,False,28132,0,35.0,2325.0,115.0,False
112,2021.11.11,2021.11.11,False,23729,0,25.0,1125.0,115.0,False
113,2021.11.12,2021.11.12,False,27146,0,155.0,2150.0,240.0,True
114,2021.11.16,2021.11.16,False,24232,0,35.0,2570.0,210.0,False
115,2021.11.17,2021.11.17,False,29635,0,85.0,3195.0,245.0,False
116,2021.11.18,2021.11.18,False,29833,0,40.0,1785.0,160.0,False
117,2021.11.19,2021.11.19,False,27510,0,30.0,1720.0,180.0,False
118,2021.11.22,2021.11.22,False,26970,0,45.0,2545.0,100.0,False
119,2021.11.23,2021.11.23,False,32352,0,60.0,2060.0,120.0,False
120,2021.11.24,2021.11.24,False,28684,0,30.0,2720.0,95.0,False
121,2021.11.25,2021.11.25,False,23525,0,35.0,1770.0,90.0,False
122,2021.11.26,2021.11.26,False,31847,0,35.0,1660.0,115.0,False
123,2021.11.29,2021.11.29,False,26156,0,35.0,1600.0,70.0,False
124,2021.11.30,2021.11.30,False,32762,0,30.0,2990.0,120.0,False
125,2021.12.01,2021.12.01,False,32025,0,35.0,3375.0,120.0,False
126,2021.12.02,2021.12.02,False,33959,0,70.0,2135.0,105.0,False
127,2021.12.03,2021.12.03,False,36964,0,135.0,2525.0,225.0,True
128,2021.12.17,2021.12.17,False,25949,0,20.0,1415.0,55.0,False
129,2021.12.20,2021.12.20,False,26814,0,30.0,1265.0,115.0,False
130,2021.12.21,2021.12.21,False,19928,0,50.0,875.0,105.0,False
131,2021.12.22,2021.12.22,False,18578,0,25.0,1330.0,80.0,False
132,2021.12.23,2021.12.23,False,14239,0,15.0,715.0,80.0,False
133,2021.12.27,2021.12.27,False,13685,0,10.0,905.0,55.0,False
134,2021.12.28,2021.12.28,False,14616,0,25.0,1140.0,95.0,False
135,2021.12.29,2021.12.29,False,17580,0,40.0,1530.0,85.0,False
136,2021.12.30,2021.12.30,False,19814,0,45.0,1210.0,75.0,False
137,2022.01.03,2022.01.03,False,21282,0,35.0,2870.0,95.0,False
138,2022.01.04,2022.01.04,False,23082,0,30.0,1265.0,100.0,False
139,2022.01.05,2022.01.05,False,25087,0,25.0,2035.0,125.0,False
140,2022.01.06,2022.01.06,False,28390,0,35.0,1165.0,100.0,False
141,2022.01.07,2022.01.07,False,24116,0,30.0,1520.0,90.0,False
142,2022.01.10,2022.01.10,False,23332,0,20.0,1595.0,90.0,False
143,2022.01.11,2022.01.11,False,21563,0,25.0,1575.0,55.0,False
144,2022.01.12,2022.01.12,False,19064,0,60.0,1270.0,85.0,False
145,2022.01.13,2022.01.13,False,25243,0,25.0,1360.0,100.0,False
146,2022.01.14,2022.01.14,False,24619,0,20.0,1635.0,105.0,False
147,2022.01.17,2022.01.17,False,13358,0,25.0,820.0,60.0,False
148,2022.01.18,2022.01.18,False,24737,0,25.0,1345.0,100.0,False
149,2022.01.19,2022.01.19,False,20367,0,15.0,730.0,80.0,False
150,2022.01.20,2022.01.20,False,17017,0,30.0,1450.0,110.0,False
151,2022.01.21,2022.01.21,False,29059,0,35.0,1205.0,95.0,False
152,2022.01.24,2022.01.24,False,32696,0,70.0,2140.0,115.0,False
153,2022.01.25,2022.01.25,False,30544,0,55.0,2710.0,135.0,False
154,2022.01.26,2022.01.26,False,26430,0,25.0,1115.0,115.0,False
155,2022.01.27,2022.01.27,False,30680,0,70.0,1390.0,105.0,False
156,2022.01.28,2022.01.28,False,28243,0,30.0,1565.0,140.0,False
157,2022.01.31,2022.01.31,False,19801,0,20.0,1060.0,110.0,False
158,2022.02.01,2022.02.01,False,20291,0,30.0,1225.0,80.0,False
159,2022.02.07,2022.02.07,False,21431,0,35.0,970.0,100.0,False
160,2022.02.08,2022.02.08,False,16291,0,15.0,1255.0,75.0,False
161,2022.02.09,2022.02.09,False,17037,0,30.0,1475.0,105.0,False
162,2022.02.14,2022.02.14,False,24774,0,25.0,940.0,95.0,False
163,2022.02.21,2022.02.21,False,13904,0,25.0,1275.0,70.0,False
164,2022.02.22,2022.02.22,False,21006,0,20.0,1200.0,90.0,False
165,2022.02.23,2022.02.23,False,22108,0,35.0,1745.0,85.0,False
166,2022.02.24,2022.02.24,False,35407,0,45.0,1350.0,90.0,False
167,2022.02.25,2022.02.25,False,26059,0,30.0,1390.0,85.0,False
168,2022.03.02,2022.03.02,False,11294,13,25.0,10600.0,10410.0,True
169,2022.03.03,2022.03.03,False,21284,0,45.0,735.0,110.0,False
170,2022.03.04,2022.03.04,False,20727,0,55.0,1625.0,75.0,False
171,2022.03.07,2022.03.07,False,19807,0,20.0,2375.0,90.0,False
172,2022.03.08,2022.03.08,False,32040,0,25.0,1440.0,145.0,False
173,2022.03.09,2022.03.09,False,19570,0,25.0,2110.0,100.0,False
174,2022.03.10,2022.03.10,False,23471,0,20.0,1705.0,85.0,False
175,2022.03.11,2022.03.11,False,21506,0,35.0,1440.0,110.0,False
176,2022.03.14,2022.03.14,False,25849,0,25.0,2275.0,100.0,False
177,2022.03.15,2022.03.15,False,22543,0,35.0,1810.0,90.0,False
178,2022.03.16,2022.03.16,False,28005,0,45.0,2155.0,105.0,False
