tag,fold,side,split,thr,n,win_rate,mean_pl,sum_pl
lstm_v2_base,1,buy,val,0.5,10141,0.5455083325115866,0.17512372136116028,1775.9296875
lstm_v2_base,1,buy,val,0.51,9915,0.5475542107917297,0.45441141724586487,4505.4892578125
lstm_v2_base,1,buy,val,0.52,9720,0.5488683127572016,0.7328165173530579,7122.9765625
lstm_v2_base,1,buy,val,0.53,9501,0.5520471529312704,1.346827745437622,12796.2099609375
lstm_v2_base,1,buy,val,0.54,9277,0.5542740109949337,1.3766252994537354,12770.953125
lstm_v2_base,1,buy,val,0.55,9010,0.5554938956714761,0.8625807762145996,7771.8525390625
lstm_v2_base,1,buy,val,0.56,8705,0.5582998276852383,0.7375332117080688,6420.2265625
lstm_v2_base,1,buy,val,0.57,8401,0.5637424116176646,1.7980296611785889,15105.2470703125
lstm_v2_base,1,buy,val,0.58,8029,0.5703076348237639,2.416104793548584,19398.90625
lstm_v2_base,1,buy,val,0.59,7687,0.575256927279823,3.166304111480713,24339.37890625
lstm_v2_base,1,buy,val,0.6,7375,0.5792542372881356,3.6331870555877686,26794.75390625
lstm_v2_base,1,buy,val,0.61,6998,0.5851671906258931,4.31262731552124,30179.765625
lstm_v2_base,1,buy,val,0.62,6638,0.5888821934317565,4.713112831115723,31285.64453125
lstm_v2_base,1,buy,val,0.63,6291,0.5929105070735972,4.432478427886963,27884.72265625
lstm_v2_base,1,buy,val,0.64,5913,0.6005411804498563,6.110228538513184,36129.78125
lstm_v2_base,1,buy,val,0.65,5541,0.6081934668832341,7.37510871887207,40865.4765625
lstm_v2_base,1,buy,val,0.66,5217,0.610504121142419,6.907562732696533,36036.75390625
lstm_v2_base,1,buy,val,0.67,4876,0.616078753076292,7.439425945281982,36274.640625
lstm_v2_base,1,buy,val,0.68,4514,0.6236154186973859,8.449196815490723,38139.67578125
lstm_v2_base,1,buy,val,0.69,4137,0.6267826927725405,8.249337196350098,34127.5078125
lstm_v2_base,1,buy,val,0.7,3788,0.6317317845828934,8.707737922668457,32984.91015625
lstm_v2_base,1,buy,val,0.71,3423,0.6330704060765411,8.057577133178711,27581.0859375
lstm_v2_base,1,buy,val,0.72,3093,0.6420950533462657,11.07896614074707,34267.2421875
lstm_v2_base,1,buy,val,0.73,2714,0.6440677966101694,10.274160385131836,27884.0703125
lstm_v2_base,1,buy,val,0.74,2393,0.644797325532804,8.458706855773926,20241.685546875
lstm_v2_base,1,buy,val,0.75,2075,0.6506024096385542,10.026009559631348,20803.970703125
lstm_v2_base,1,buy,val,0.76,1773,0.6474901297236323,6.077454090118408,10775.326171875
lstm_v2_base,1,buy,val,0.77,1521,0.6502301117685733,6.692479610443115,10179.26171875
lstm_v2_base,1,buy,val,0.78,1272,0.6611635220125787,11.495020866394043,14621.666015625
lstm_v2_base,1,buy,val,0.79,1047,0.6838586437440306,20.440948486328125,21401.673828125
lstm_v2_base,1,buy,val,0.8,862,0.6867749419953596,22.946115493774414,19779.55078125
lstm_v2_base,1,buy,val,0.81,648,0.6820987654320988,19.37445831298828,12554.6484375
lstm_v2_base,1,buy,val,0.82,482,0.6804979253112033,15.308425903320312,7378.6611328125
lstm_v2_base,1,buy,val,0.83,335,0.6686567164179105,3.9848122596740723,1334.912109375
lstm_v2_base,1,buy,val,0.84,217,0.6589861751152074,-13.265912055969238,-2878.702880859375
lstm_v2_base,1,buy,val,0.85,128,0.7109375,5.2827467918396,676.1915893554688
lstm_v2_base,1,buy,val,0.0,14290,0.5115465360391882,-2.4572696685791016,-35114.3828125
lstm_v2_base,1,buy,test,0.5,14314,0.5767779796003912,7.007312774658203,100302.671875
lstm_v2_base,1,buy,test,0.51,13823,0.5805541488822976,7.682602882385254,106196.6171875
lstm_v2_base,1,buy,test,0.52,13337,0.5829646847117043,7.960321426391602,106166.8046875
lstm_v2_base,1,buy,test,0.53,12851,0.5844681347755039,8.428608894348145,108316.046875
lstm_v2_base,1,buy,test,0.54,12314,0.5869741757349358,8.636098861694336,106344.921875
lstm_v2_base,1,buy,test,0.55,11776,0.5912873641304348,8.787348747253418,103479.8203125
lstm_v2_base,1,buy,test,0.56,11237,0.5954436237429919,9.44942855834961,106183.2265625
lstm_v2_base,1,buy,test,0.57,10738,0.5989942261128702,9.875455856323242,106042.6484375
lstm_v2_base,1,buy,test,0.58,10177,0.6033212145032918,10.743432998657227,109335.9140625
lstm_v2_base,1,buy,test,0.59,9612,0.6045568039950062,10.185848236083984,97906.375
lstm_v2_base,1,buy,test,0.6,9073,0.607406590984239,10.609481811523438,96259.828125
lstm_v2_base,1,buy,test,0.61,8514,0.6120507399577167,10.868155479431152,92531.4765625
lstm_v2_base,1,buy,test,0.62,7975,0.6189341692789969,12.020211219787598,95861.1875
lstm_v2_base,1,buy,test,0.63,7430,0.6244952893674294,12.818443298339844,95241.03125
lstm_v2_base,1,buy,test,0.64,6915,0.6306579898770788,13.838029861450195,95689.9765625
lstm_v2_base,1,buy,test,0.65,6413,0.6394823015749259,16.090164184570312,103186.21875
lstm_v2_base,1,buy,test,0.66,5908,0.6438727149627623,16.16941261291504,95528.890625
lstm_v2_base,1,buy,test,0.67,5471,0.6466825077682326,15.81232738494873,86509.2421875
lstm_v2_base,1,buy,test,0.68,4997,0.6521913147888734,15.993685722351074,79920.4453125
lstm_v2_base,1,buy,test,0.69,4529,0.6555531022300729,15.726720809936523,71226.3203125
