sigma,Re,Ri,n,spread_med,d_med,SG_med,SL_med,SG/spread_med,win_bidask,win_mid,pl_bidask,pl_mid,pl_real,custo_spread(mid-bidask),spread_medio
1.6,0.9,0.5,7808.0,5.0,170.44197215348686,153.39777493813818,85.22098607674343,28.988570029716794,0.35079405737704916,0.37205430327868855,-1.3072002062241972,3.4937807006907065,-4.116290983606557,4.800980906914903,5.596183401639344
1.6,0.9,1.0,4255.0,5.0,166.63012386736227,149.96711148062604,166.63012386736227,28.110704335292684,0.5052878965922444,0.5245593419506464,-3.2314908668487528,2.2621221309685304,-4.021151586368978,5.493612997817284,5.581668625146886
1.6,0.9,1.5,3097.0,5.0,162.22017100795347,145.99815390715813,243.3302565119302,27.71808424732735,0.6057474975783016,0.6193090087181143,-0.5061891436814991,4.124975321058551,0.1517597675169519,4.631164464740051,5.5279302550855665
1.8,0.5,0.5,10294.0,5.0,158.12766095439292,79.06383047719646,79.06383047719646,14.972913170984974,0.47357684087818147,0.5056343501068583,-3.1381546013664448,1.523824007751792,-4.452593743928502,4.661978609118236,5.546434816397902
1.8,0.5,1.0,6489.0,5.0,148.68161186258658,74.34080593129329,148.68161186258658,14.275570954495924,0.636615811373093,0.6632763137617507,-4.1407688919410415,1.7570524628019484,-3.5367545076282942,5.89782135474299,5.462320850670365
1.8,0.5,1.5,4969.0,5.0,143.07811964236316,71.53905982118158,214.61717946354474,13.744610942977307,0.7154357013483599,0.735359227208694,-4.824694047613884,0.23408864798414594,-3.2622257999597504,5.058782695598031,5.459851076675387
1.8,0.75,0.5,8094.0,5.0,171.33309645902773,128.4998223442708,85.66654822951386,24.25523686845554,0.38942426488757104,0.4143810229799852,-1.622081997436045,3.0820525261294343,-3.9801087225105016,4.704134523565479,5.591178650852483
1.8,0.75,1.0,4760.0,5.0,165.48116206033592,124.11087154525194,165.48116206033592,23.474019811216202,0.5567226890756303,0.576890756302521,-1.238543862403314,4.11984507115124,-1.4873949579831933,5.358388933554554,5.501050420168068
1.8,0.75,1.5,3528.0,5.0,157.95771685850195,118.46828764387647,236.93657528775293,22.430130765043213,0.6400226757369615,0.657312925170068,-2.5160435062897677,4.026611668321237,-1.6468253968253967,6.542655174611005,5.508786848072562
1.8,0.9,0.5,7034.0,5.0,180.9646115318028,162.86815037862252,90.4823057659014,30.695988194563398,0.3515780494739835,0.3734717088427637,-1.2081276469856101,3.5431038875476926,-3.9884845038384986,4.751231534533303,5.627665624111459
1.8,0.9,1.0,3917.0,5.0,179.3947926727997,161.45531340551972,179.39479267279967,30.593368481343497,0.5192749553229512,0.5333163135052336,0.022082741224271365,4.7544744439423035,-0.8143987745723769,4.732391702718032,5.522083226959408
1.8,0.9,1.5,2940.0,5.0,171.8923293722546,154.70309643502915,257.8384940583819,28.967137172984224,0.6034013605442177,0.6170068027210884,-1.1708838533441885,4.512355920723988,-0.7857142857142857,5.683239774068177,5.5561224489795915
2.0,0.5,0.5,8453.0,5.0,170.69881740371056,85.34940870185528,85.34940870185528,16.19150452658796,0.47344138175795575,0.5072755234827871,-3.016344579697834,2.2762488205815328,-4.4676446232106946,5.292593400279367,5.543002484325092
2.0,0.5,1.0,5414.0,5.0,161.07169134082505,80.53584567041253,161.07169134082505,15.389502289763186,0.6409309198374584,0.6614333210195789,-3.429850718684266,1.0796931219338795,-2.6680827484299963,4.509543840618146,5.498707055781308
