Run,Negócios,Pregões,Pregões com exatamente 1 negócio,Pregões com ≥ 10 negócios,Entradas às 10h–11h,Negócios < 5% do pregão,Negócios ≥ 95% do pregão,Duração mediana (% do pregão),P/L médio por negócio (pts),Ganho médio,Perda média
v4 (50M),413,90,16 (18%),12 (13%),65%,43%,5%,6.822085889570552,12.972154963680387,369.68009478672985,-359.6287128712871
v4-long (100M),300,90,29 (32%),3 (3%),51%,22%,10%,16.135087326325976,108.16666666666667,461.1033519553073,-413.94628099173553
