Run,Fold,Recompensa/episódio no início (pts),"Recompensa/episódio, últimos 10M (pts)",Negócios/episódio no início,"Negócios/episódio, últimos 10M",Passo em que negócios/ep. < 50 (M),Passo em que recompensa > 0 (M),"Entropia @10M (máx. 1,10)",Var. explicada 10–25M,"Var. explicada, últimos 10M"
v4 (50M),1,-37082.5,-44.76176470588235,4909.0,13.175420875420874,6.684672,18.087936,0.002032830552586,0.6918724872707541,0.46414120875152887
v4 (50M),2,-22317.5,110.38970588235294,2941.0,9.426932923707117,7.3728,10.223616,0.0012217330552327,0.6659298558640324,0.31807652466437397
v4 (50M),3,-32372.5,63.633333333333354,4067.0,5.216629464285715,6.488064,14.352384,0.0024818689239812,0.4168114989411597,0.1604983409245809
v4-long (100M),1,-37082.5,71.075,4909.0,5.347922740524781,6.684672,18.087936,0.002032830552586,0.6918724872707541,0.3388269771547878
v4-long (100M),2,-22317.5,179.79828431372553,2941.0,9.850607902735561,7.3728,10.223616,0.0012217330552327,0.6659298558640324,0.20209436323128493
v4-long (100M),3,-32372.5,81.63480392156863,4067.0,3.006061710398445,6.488064,14.352384,0.0024818689239812,0.4168114989411597,0.09682553597525051
