order,date,n_ticks,win_move,fair_move,misp_open,misp_close,long_hold_pnl,short_hold_pnl
19,2021-05-20,27872,270.0,244.48831186356256,-7.949056990706595,17.562631145730847,257.5,-272.5
20,2021-05-21,20352,257.5,239.39501149446005,1.6808112275321037,19.785799733072054,242.5,-262.5
21,2021-05-24,16731,1065.0,1079.6906039652968,7.464954943730845,-7.225649021565914,1057.5,-1072.5
22,2021-05-25,27759,-1510.0,-1517.014790338013,2.6460219423897797,9.660812280402752,-1517.5,1502.5
23,2021-05-26,23009,-20.0,-5.7600005660933675,12.890761313290568,-1.3492381206160644,-22.5,7.5
24,2021-05-27,7559,5.0,20.972322227346012,-56.62607356719673,-72.59839579454274,-7.5,-7.5
25,2021-05-28,17692,1165.0,1183.9227686114318,-3.5587112676585093,-22.48147987909033,1157.5,-1172.5
26,2021-05-31,14720,235.0,238.2494260515814,-0.07914817237178795,-3.328574223953183,227.5,-242.5
27,2021-06-01,20448,250.0,237.60099551666644,3.076749434680096,15.475753918013652,242.5,-257.5
28,2021-06-02,21541,615.0,636.6962785236537,10.709066699899267,-10.987211823754478,612.5,-627.5
29,2021-06-04,22788,560.0,566.7276599540637,-9.261775470004068,-15.989435424067779,547.5,-562.5
30,2021-06-07,17987,1380.0,1366.667378156213,-22.10908789956011,-8.776466055773199,1382.5,-1397.5
31,2021-06-08,24788,-620.0,-616.2179188109003,-1.680778375652153,-5.462859564751852,-632.5,617.5
32,2021-06-09,25818,285.0,287.846364051351,-6.3315916029241635,-9.177955654275138,277.5,-292.5
33,2021-06-10,34009,12.5,7.2411818741384195,-10.47722881451773,-5.218410688656149,2.5,-22.5
34,2021-06-11,24514,-685.0,-683.208800337321,-2.456036768940976,-4.247236431619967,-692.5,677.5
35,2021-07-13,28249,1165.0,1181.8188650903467,19.21728545211954,2.398420361772878,1152.5,-1167.5
36,2021-07-14,35702,-552.5,-571.211048724741,-22.46468150484725,-3.7536327801062725,-557.5,537.5
37,2021-07-15,33391,-1390.0,-1397.1871408930456,4.525550281920005,11.712691174965585,-1402.5,1387.5
38,2021-07-16,26907,-1830.0,-1853.9473662394157,-4.422126998237218,19.525239241178497,-1837.5,1822.5
39,2021-07-19,42619,-570.0,-580.5380584908708,-8.437705013988307,2.1003534768824466,-577.5,562.5
40,2021-07-20,32720,1810.0,1815.3879652777978,9.346102156763664,3.958136878965888,1807.5,-1822.5
41,2021-07-21,29194,340.0,343.94559726429,8.552559778661816,4.606962514371844,327.5,-342.5
42,2021-07-22,28672,450.0,452.74104890001763,-2.0576080398168415,-4.798656939834473,442.5,-457.5
43,2021-07-23,28659,-1050.0,-1058.4400686201552,7.282897077588132,15.722965697743348,-1057.5,1042.5
44,2021-07-26,20000,-30.0,-6.60579232845339,13.506033393001417,-9.888174278545193,-37.5,22.5
45,2021-07-27,30081,-600.0,-579.3122885552875,-9.229309933783952,-29.91702137849643,-607.5,592.5
46,2021-07-28,31747,820.0,811.322920390041,8.575770004768856,17.252849614727893,802.5,-817.5
47,2021-07-29,28472,-75.0,-68.67841383551422,2.737733083922649,-3.583853080563131,-82.5,67.5
48,2021-07-30,37897,-2585.0,-2585.2394803028146,0.8386848391382955,1.0781651419529226,-2592.5,2577.5
49,2021-08-02,36862,-1270.0,-1256.8440731908486,-0.693571848096326,-13.84949865724775,-1282.5,1267.5
50,2021-08-03,49479,1120.0,1126.3875931201328,5.1475455880281515,-1.2400475321046542,1122.5,-1137.5
51,2021-08-04,44825,-755.0,-753.4099282677926,3.940410063660238,2.3503383314528037,-767.5,752.5
52,2021-08-05,44436,-1830.0,-1822.0638517587504,-0.2512399586412357,-8.187388199890847,-1837.5,1822.5
53,2021-08-06,35850,945.0,922.1487743492908,-10.93102423431992,11.920201416389318,932.5,-947.5
54,2021-08-09,29022,-55.0,-25.06215003367106,13.256012145415298,-16.681837820913643,-62.5,47.5
55,2021-08-10,30310,-645.0,-647.6821823684149,2.0936807391117327,4.775863107526675,-657.5,642.5
56,2021-08-11,26283,1050.0,1076.262646118179,-7.235886205773568,-33.49853232395253,1042.5,-1057.5
57,2021-08-12,29780,-270.0,-227.14187576904078,21.12995560473064,-21.72816862622858,-282.5,267.5
58,2021-08-20,35343,1835.0,1811.3766377553984,-5.862400214129593,17.760962030472,1827.5,-1842.5
59,2021-08-23,26807,-45.0,-135.9493048035074,-56.1745313218853,34.774773481622105,-52.5,37.5
60,2021-08-24,19797,720.0,740.8849479781493,10.681394190891297,-10.203553787257988,712.5,-727.5
61,2021-08-25,23180,1130.0,1134.7628598032898,-4.588239432050614,-9.35109923534037,1127.5,-1142.5
62,2021-08-26,27762,-1382.5,-1340.469231042298,20.617710306338267,-21.413058651363826,-1387.5,1367.5
63,2021-08-27,21190,675.0,744.8744092569978,44.6964020547166,-25.17800720228115,667.5,-682.5
64,2021-08-30,17958,240.0,254.46364324317256,14.298806815699209,-0.1648364274733467,237.5,-252.5
65,2021-08-31,29474,-1230.0,-1246.0114268407197,-18.16962260955188,-2.158195768832229,-1232.5,1217.5
66,2021-09-01,28625,560.0,538.4247074803279,-26.503514148906106,-4.928221629234031,562.5,-577.5
67,2021-09-02,29908,-1035.0,-1009.0018934129039,13.559611659802613,-12.438494927293505,-1037.5,1022.5
68,2021-09-03,33769,-295.0,-280.85044168299646,18.893366026051808,4.743807709048269,-305.0,290.0
69,2021-09-06,28868,925.0,928.3333194678125,-7.1848141686059535,-10.518133636418497,920.0,-935.0
70,2021-09-08,41103,-2890.0,-2867.3618409316405,3.1955454571871087,-19.44261361117242,-2897.5,2882.5
71,2021-09-09,49899,-1525.0,-1512.3739647388284,9.173267035570461,-3.452768225601176,-1547.5,1532.5
72,2021-09-10,54855,-1530.0,-1528.7298302418785,-9.244255502591841,-10.514425260713324,-1537.5,1522.5
73,2021-09-13,42196,535.0,533.678769120088,8.929946990756434,10.25117787066847,527.5,-542.5
74,2021-09-14,36369,-1370.0,-1351.4271112659044,14.896687063301215,-3.6762016707943985,-1377.5,1362.5
75,2021-09-15,34250,-275.0,-271.83337847847724,-20.637472517963033,-23.80409403948579,-282.5,267.5
76,2021-09-16,36653,-472.5,-460.843359239283,-13.010065655747894,-24.666706416464876,-482.5,462.5
77,2021-09-17,29535,-1315.0,-1289.25695505357,16.908068137665396,-8.834976808764623,-1332.5,1317.5
78,2021-09-20,45821,-890.0,-991.0866487990133,-101.79152547070407,-0.7048766716907267,-902.5,887.5
79,2021-09-21,43724,1310.0,1293.6755154296698,0.15960126416757703,16.48408583449782,1297.5,-1312.5
80,2021-09-22,37489,430.0,438.4184266710945,30.190545698307687,21.772119027213193,422.5,-437.5
81,2021-09-23,28545,605.0,581.1295382699464,-15.39715969125973,8.473302038793918,602.5,-617.5
82,2021-09-24,34003,-35.0,-27.330562209914206,-2.3741316396335606,-10.043569429719355,-42.5,27.5
83,2021-09-27,32877,25.0,11.030608516462962,-8.76884864756721,5.200542835969827,17.5,-32.5
84,2021-09-28,40103,-2990.0,-2963.0484769554896,8.170271210663486,-18.78125183384691,-2992.5,2977.5
85,2021-09-29,37853,812.5,824.4815945737646,1.8341491419414524,-10.147445431823144,802.5,-822.5
86,2021-09-30,43067,-530.0,-526.1889999016857,4.254665993095841,0.4436658947815886,-542.5,527.5
87,2021-10-01,37754,1040.0,1017.305376255259,-9.029069259064272,13.665554485676694,1032.5,-1047.5
88,2021-10-04,36293,-1100.0,-1100.5005936927482,7.945571728938376,8.446165421686601,-1112.5,1097.5
89,2021-10-05,35676,505.0,523.2126790298353,12.74777113609889,-5.464907893736381,497.5,-512.5
90,2021-10-06,44759,860.0,862.4847439985751,-9.34249305157573,-11.82723705015087,847.5,-862.5
91,2021-10-07,33227,20.0,-3.6326024195441278,-2.1246605238120537,21.507941895732074,17.5,-32.5
92,2021-10-08,30206,705.0,691.1773172417161,-14.789639895199798,-0.9669571369158803,692.5,-707.5
93,2021-10-11,35090,-1590.0,-1584.1337977038202,7.893860249707359,2.027657953527523,-1602.5,1587.5
94,2021-10-15,23073,1180.0,1203.8919488796964,20.237088835041504,-3.6548600446549244,1172.5,-1187.5
95,2021-10-18,23585,1670.0,1682.6571186474757,-20.268127037386876,-32.9252456848626,1662.5,-1677.5
