Run,Fold,Conjunto,P/L bruto,Convergência do spread,Direcional (preço justo),Custos,Exposição líquida média,Corr. P/L × mov. WIN,Dias com ≤1 negócio,Duração média (% do pregão)
v4 (50M),1,validação,5715.0,7312.071783819571,-1597.0717838195706,1030.0,10.22077176785394,-0.3705812240306928,6.666666666666667,22.612726986972078
v4 (50M),1,teste,-10667.5,2785.507026493113,-13453.007026493113,675.0,47.35926749453471,0.4686246701037577,0.0,23.22705570521509
v4 (50M),2,validação,6782.5,8394.028355648115,-1611.5283556481154,667.5,-4.4843223619643995,0.3083502827690473,6.666666666666667,29.780663780663787
v4 (50M),2,teste,-7.5,7126.509569288086,-7134.009569288086,555.0,15.97289954869108,0.0995777915811294,6.666666666666667,34.77777777777778
v4 (50M),3,validação,7542.5,649.782013993783,6892.717986006217,280.0,-46.563063814493624,-0.4632229200772405,33.33333333333333,57.44444444444444
v4 (50M),3,teste,-622.5,412.1998936142918,-1034.6998936142918,217.5,-76.66501520984497,-0.8056533660085967,53.333333333333336,70.55555555555556
v4-long (100M),1,validação,18300.0,8062.93619597354,10237.06380402646,587.5,-74.24555376290137,-0.6722384984326297,26.666666666666668,46.7560944186501
v4-long (100M),1,teste,4002.5,1397.6585977539653,2604.8414022460347,195.0,-67.98542130042128,-0.9517367525620618,73.33333333333333,84.44444444444444
v4-long (100M),2,validação,9262.5,8792.346225932168,470.1537740678323,800.0,-55.431606090846564,-0.1268690422792756,6.666666666666667,26.416962440655144
v4-long (100M),2,teste,-3312.5,8070.6443916713615,-11383.144391671362,637.5,-46.277347306284724,-0.6037798541689794,0.0,23.95972662777268
v4-long (100M),3,validação,7542.5,649.782013993783,6892.717986006217,280.0,-46.563063814493624,-0.4632229200772405,33.33333333333333,57.44444444444444
v4-long (100M),3,teste,-622.5,412.1998936142918,-1034.6998936142918,217.5,-76.66501520984497,-0.8056533660085967,53.333333333333336,70.55555555555556
