Fold,Conjunto,Negócios,Convergência total do spread,Efeito do preço justo na posição,P/L bruto (movimento do WIN),Custos,% da convergência capturada no WIN,Convergência por negócio (pts),Custo por negócio (pts)
1,validação,20392,520736.7862362456,-427174.2862362456,93562.5,162737.5,17.96733061173692,25.536327296795097,7.980458022754021
1,teste,17808,432084.4212221711,-362886.9212221711,69197.5,140627.5,16.01481020867904,24.2635007424849,7.896872192273135
2,validação,15009,333811.23713992373,-284701.23713992373,49110.0,116847.5,14.711907370396446,22.24073803317501,7.785162235991739
2,teste,15931,356785.3618686794,-295207.8618686794,61577.5,124857.5,17.258976006606623,22.395666428264352,7.837392505178583
3,validação,2054,85268.91135835781,-73596.41135835781,11672.5,16575.0,13.689045414153625,41.5135887820632,8.069620253164556
3,teste,926,34775.86822625945,-34155.86822625945,620.0,7350.0,1.7828454949453558,37.55493328969703,7.9373650107991365
