Run,Faixa do sinal na entrada (z),Negócios,P/L médio (pts),Convergência média (pts)
v4 (50M),z<0,74,-97.36486486486487,35.20994427738746
v4 (50M),0<=z<1,112,39.910714285714285,32.02198734065522
v4 (50M),1<=z<2,70,45.0,53.89467335688345
v4 (50M),z>=2,157,31.480891719745223,106.82294146336169
v4-long (100M),z<0,44,142.27272727272728,54.05990176675914
v4-long (100M),0<=z<1,69,180.47101449275362,39.06836353097764
v4-long (100M),1<=z<2,33,73.25757575757575,67.67157037090774
v4-long (100M),z>=2,154,73.50649350649351,130.51379356230402
