Fold,Aleatório,Regra de limiar,Modelo v4 (50M),Modelo v4-long (100M)
1,17683.4,1187.2,5.933333333333334,1.4
2,14264.533333333333,1062.0666666666666,4.2,4.933333333333334
3,13191.066666666668,61.73333333333333,1.8666666666666667,1.8666666666666667
